split,subject,sample_count,Fixation,Saccade,Smooth,Blink
train,1,30487,19848,6,10633,20533
train,2,30822,19661,0,11161,15432
train,3,29848,19224,16,10608,20253
train,4,30092,19597,8,10487,15021
train,5,30227,19698,1,10528,15260
train,6,30669,20172,20,10477,15536
train,7,30493,19918,1,10574,15215
train,8,29726,19607,2,10117,14946
train,9,30942,19790,27,11125,15399
train,10,30636,19634,4,10998,15363
train,11,30707,19505,2,11200,15395
train,12,30587,19569,9,11009,20819
train,13,30811,19726,11,11074,15370
train,14,30664,19499,1,11164,20930
train,15,30501,19561,10,10930,15382
train,16,29644,19404,0,10240,14924
train,17,28837,18902,0,9935,19607
train,18,30291,19930,0,10361,15165
train,19,31233,20107,0,11126,21139
train,20,29201,18462,34,10705,14672
train,21,30826,19652,0,11174,15327
train,22,30883,19811,7,11065,15425
train,23,30260,19727,0,10533,15171
train,24,30482,19969,0,10513,15386
train,25,30322,19926,13,10383,15141
train,26,29587,19331,2,10254,14760
train,27,30272,19762,15,10495,15140
train,28,30168,19754,3,10411,20290
train,29,28809,18715,11,10083,14391
train,30,30099,19567,20,10512,14939
train,31,30656,19616,0,11040,15259
train,32,30091,19417,0,10674,14818
val,33,30620,19845,44,10731,15323
val,34,30359,19610,140,10609,15206
val,35,30736,19602,24,11110,15204
val,36,31061,19811,16,11234,15519
test,37,30953,19908,1,11044,15390
test,38,29760,19377,3,10380,14833
test,39,30372,19840,0,10532,15159
test,40,30757,19751,1,11005,15217
test,41,30684,19534,40,11110,15296
test,42,29739,18820,0,10919,20342
test,43,30738,19558,3,11177,15252
test,44,30766,19742,0,11024,20874
test,45,30607,19421,3,11183,15278
test,46,30709,19696,0,11013,15269
test,47,30715,19720,4,10991,15312
test,48,30371,19432,0,10939,15059
