split,subject,raw_frames,valid_frame_event_pairs,skipped,skip_no_ellipse,skip_no_events
train,1,30981,30487,494,493,1
train,2,31345,30822,523,523,0
train,3,31432,29848,1584,1583,1
train,4,30538,30092,446,446,0
train,5,30728,30227,501,501,0
train,6,31118,30669,449,449,0
train,7,30695,30493,202,202,0
train,8,31204,29726,1478,1478,0
train,9,31151,30942,209,209,0
train,10,31471,30636,835,835,0
train,11,31512,30707,805,805,0
train,12,30981,30587,394,391,3
train,13,31059,30811,248,248,0
train,14,31570,30664,906,906,0
train,15,31188,30501,687,686,1
train,16,30432,29644,788,788,0
train,17,31143,28837,2306,2306,0
train,18,30768,30291,477,477,0
train,19,31506,31233,273,273,0
train,20,30929,29201,1728,1726,2
train,21,31129,30826,303,303,0
train,22,31057,30883,174,173,1
train,23,30654,30260,394,393,1
train,24,31312,30482,830,830,0
train,25,30813,30322,491,491,0
train,26,30817,29587,1230,1230,0
train,27,30697,30272,425,423,2
train,28,30655,30168,487,487,0
train,29,30571,28809,1762,1761,1
train,30,30850,30099,751,751,0
train,31,30993,30656,337,337,0
train,32,31211,30091,1120,1114,6
val,33,30842,30620,222,219,3
val,34,30908,30359,549,548,1
val,35,31561,30736,825,822,3
val,36,31264,31061,203,201,2
test,37,31237,30953,284,281,3
test,38,30554,29760,794,791,3
test,39,30497,30372,125,122,3
test,40,31421,30757,664,664,0
test,41,31332,30684,648,647,1
test,42,31267,29739,1528,1527,1
test,43,31273,30738,535,533,2
test,44,30985,30766,219,217,2
test,45,31240,30607,633,633,0
test,46,31318,30709,609,607,2
test,47,31088,30715,373,372,1
test,48,31251,30371,880,879,1
